date,session_key,rpm,brake,speed,drs,throttle,n_gear,driver_number,meeting_key,x,y,z,lap,mds_x,mds_y,driver
2024-04-07 05:06:04.563000+00:00,9496.0,5794.0,0.0,65.0,1.0,6.0,2.0,1.0,1232.0,3017.0,-2602.0,766.0,2,0.00782298259805563,0.49119892155909767,
2024-04-07 05:06:04.763000+00:00,9496.0,5875.0,0.0,66.0,1.0,6.0,2.0,1.0,1232.0,3041.0,-2629.0,766.0,2,0.007804961143213191,0.49119721559796414,
2024-04-07 05:06:05.043000+00:00,9496.0,6022.0,0.0,68.0,1.0,6.0,2.0,1.0,1232.0,3071.0,-2664.0,766.0,2,0.01051591244976628,-0.4939643502090331,
2024-04-07 05:06:05.364000+00:00,9496.0,6224.0,0.0,70.0,1.0,7.0,2.0,1.0,1232.0,3114.0,-2713.0,766.0,2,0.010262607378336371,-0.4952082026668819,
2024-04-07 05:06:05.644000+00:00,9496.0,6470.0,0.0,71.0,1.0,0.0,2.0,1.0,1232.0,3137.0,-2740.0,766.0,2,0.004841630502246756,0.48732491503816155,
2024-04-07 05:06:05.844000+00:00,9496.0,6072.0,0.0,70.0,1.0,0.0,2.0,1.0,1232.0,3191.0,-2802.0,766.0,2,0.0048411913648016575,0.4873248696835602,
2024-04-07 05:06:06.004000+00:00,9496.0,5975.0,0.0,69.0,1.0,0.0,2.0,1.0,1232.0,3191.0,-2802.0,766.0,2,0.005540406708351945,0.48739647796400387,
2024-04-07 05:06:06.244000+00:00,9496.0,6548.0,0.0,68.0,1.0,0.0,2.0,1.0,1232.0,3230.0,-2847.0,766.0,2,0.008053921980700693,-0.49038888457057966,
2024-04-07 05:06:06.444000+00:00,9496.0,7144.0,0.0,65.0,1.0,0.0,2.0,1.0,1232.0,3230.0,-2847.0,766.0,2,0.00795254037775578,-0.4903790422504935,
2024-04-07 05:06:06.604000+00:00,9496.0,6947.0,0.0,64.0,1.0,0.0,1.0,1.0,1232.0,3274.0,-2898.0,766.0,2,0.042600213329975246,0.24114896217472043,
2024-04-07 05:06:06.924000+00:00,9496.0,6737.0,0.0,62.0,1.0,0.0,1.0,1.0,1232.0,3299.0,-2927.0,766.0,2,0.04257534875151277,0.24114652080524143,
2024-04-07 05:06:07.364000+00:00,9496.0,6459.0,0.0,59.0,1.0,0.0,1.0,1.0,1232.0,3336.0,-2970.0,766.0,2,0.039660554354520976,-0.2441411295718046,
2024-04-07 05:06:07.604000+00:00,9496.0,6248.0,0.0,58.0,1.0,0.0,1.0,1.0,1232.0,3364.0,-3002.0,766.0,2,0.03967516522549468,-0.24414276400901253,
